#period	period time	calc time
1	4734	1513
2	4734	2263
3	5007	1987
4	4996	1498
5	4994	1749
6	5253	2501
7	5245	2741
8	4735	2264
9	5005	2282
10	5039	2212
11	4960	2252
12	4991	2254
13	4996	1991
14	4987	2012
15	5007	1996
16	5249	1998
17	4993	2259
18	5000	2248
19	4742	2256
20	4992	2269
21	5005	2238
22	5249	1997
23	4748	2246
24	4992	2250
25	4996	2259
26	4991	2265
27	5004	2256
28	5030	2250
29	4966	2247
30	5240	2251
31	4747	2251
32	4991	2018
33	5009	2247
34	4991	1999
35	5000	2251
36	4997	2248
37	4993	2248
38	5273	1965
39	4730	2253
40	5490	1999
41	4501	2252
42	5244	2287
43	4996	1998
44	4743	2270
45	5035	2214
46	4962	2246
47	5489	2011
48	4751	2000
49	4748	2294
50	5238	1999
51	5010	2001
52	4996	1991
53	4995	2003
54	4744	2250
55	5244	2261
56	5015	1977
57	4981	1990
58	4762	2492
59	5236	2001
60	4748	2248
61	5285	2206
62	4945	2011
63	5013	1993
64	4989	2001
65	4997	2001
66	4996	1997
67	5035	1965
68	5201	1998
69	4754	1999
70	5004	1997
71	4992	2286
72	4994	2000
73	4992	2038
74	5005	1988
75	4998	2246
76	4999	1996
77	4993	1998
78	4983	2047
79	5013	2243
80	4996	1989
81	4987	2006
82	5008	2002
83	5002	1995
84	4989	2006
85	4995	2004
86	4998	1990
87	4984	2013
88	5046	1968
89	4959	1994
90	4998	2007
91	4999	2001
92	4992	2281
93	4988	2024
94	5000	2019
95	5002	2001
96	4995	2007
97	5001	2011
98	4994	1999
99	4985	2033
100	5010	1993
101	4991	2254
